"Sample","Type","Chip#ID","Chip CO position","Chip Row Pos"
"WB 105","Whole blood",5684819001,"CO1","RO1"
"WB 218","Whole blood",5684819001,"CO1","RO2"
"WB 261","Whole blood",5684819001,"CO1","RO3"
"PBMC 105","PBMC",5684819001,"CO1","RO4"
"PBMC 218","PBMC",5684819001,"CO1","RO5"
"PBMC 261","PBMC",5684819001,"CO1","RO6"
"Gran 105","Granulocytes",5684819001,"CO2","RO1"
"Gran 218","Granulocytes",5684819001,"CO2","RO2"
"Gran 261","Granulocytes",5684819001,"CO2","RO3"
"CD4+ 105","CD4+ T-cells",5684819001,"CO2","RO4"
"CD4+ 218","CD4+ T-cells",5684819001,"CO2","RO5"
"CD4+ 261","CD4+ T-cells",5684819001,"CO2","RO6"
"CD8+ 105","CD8+ T-cells",5684819004,"CO1","RO1"
"CD8+ 218","CD8+ T-cells",5684819004,"CO1","RO2"
"CD8+ 261","CD8+ T-cells",5684819004,"CO1","RO3"
"CD19+ 105","CD19+ B-cells",5684819004,"CO1","RO4"
"CD19+ 218","CD19+ B-cells",5684819004,"CO1","RO5"
"CD19+ 261","CD19+ B-cells",5684819004,"CO1","RO6"
"CD14+ 105","CD14+ Monocytes",5684819004,"CO2","RO1"
"CD14+ 218","CD14+ Monocytes",5684819004,"CO2","RO2"
"CD14+ 261","CD14+ Monocytes",5684819004,"CO2","RO3"
"CD56+ 105","CD56+ NK-cells",5684819004,"CO2","RO4"
"CD56+ 218","CD56+ NK-cells",5684819004,"CO2","RO5"
"CD56+ 261","CD56+ NK-cells",5684819004,"CO2","RO6"
"WB 043","Whole blood",5727920027,"CO1","RO1"
"WB 160","Whole blood",5727920027,"CO1","RO2"
"WB 149","Whole blood",5727920027,"CO1","RO3"
"PBMC 043","PBMC",5727920027,"CO1","RO4"
"PBMC 160","PBMC",5727920027,"CO1","RO5"
"PBMC 149","PBMC",5727920027,"CO1","RO6"
"Gran 043","Granulocytes",5727920027,"CO2","RO1"
"Gran 160","Granulocytes",5727920027,"CO2","RO2"
"Gran 149","Granulocytes",5727920027,"CO2","RO3"
"CD4+ 043","CD4+ T-cells",5727920027,"CO2","RO4"
"CD4+ 160","CD4+ T-cells",5727920027,"CO2","RO5"
"CD4+ 149","CD4+ T-cells",5727920027,"CO2","RO6"
"CD8+ 043","CD8+ T-cells",5727920033,"CO1","RO1"
"CD8+ 160","CD8+ T-cells",5727920033,"CO1","RO2"
"CD8+ 149","CD8+ T-cells",5727920033,"CO1","RO3"
"CD19+ 043","CD19+ B-cells",5727920033,"CO1","RO4"
"CD19+ 160","CD19+ B-cells",5727920033,"CO1","RO5"
"CD19+ 149","CD19+ B-cells",5727920033,"CO1","RO6"
"CD14+ 043","CD14+ Monocytes",5727920033,"CO2","RO1"
"CD14+ 160","CD14+ Monocytes",5727920033,"CO2","RO2"
"CD14+ 149","CD14+ Monocytes",5727920033,"CO2","RO3"
"CD56+ 043","CD56+ NK-cells",5727920033,"CO2","RO4"
"CD56+ 160","CD56+ NK-cells",5727920033,"CO2","RO5"
"CD56+ 149","CD56+ NK-cells",5727920033,"CO2","RO6"
"Neu 105","Neutrophils",5727920038,"CO1","RO1"
"Neu 218","Neutrophils",5727920038,"CO1","RO2"
"Neu 261","Neutrophils",5727920038,"CO1","RO3"
"Neu 043","Neutrophils",5727920038,"CO1","RO4"
"Neu 160","Neutrophils",5727920038,"CO1","RO5"
"Neu 149","Neutrophils",5727920038,"CO1","RO6"
"Eos 105","Eosinophils",5727920038,"CO2","RO1"
"Eos 218","Eosinophils",5727920038,"CO2","RO2"
"Eos 261","Eosinophils",5727920038,"CO2","RO3"
"Eos 043","Eosinophils",5727920038,"CO2","RO4"
"Eos 160","Eosinophils",5727920038,"CO2","RO5"
"Eos 149","Eosinophils",5727920038,"CO2","RO6"
